9.475000000000000089e-02,2.790000000000000119e-02
2.723333333333333162e-02,2.040000000000000147e-02
1.934999999999999915e-02,1.469999999999999953e-02
1.576666666666666494e-02,1.119999999999999989e-02
1.318333333333333336e-02,1.030000000000000013e-02
1.158333333333333263e-02,1.110000000000000049e-02
9.799999999999999684e-03,1.140000000000000041e-02
8.466666666666667479e-03,1.000000000000000021e-02
7.716666666666666813e-03,1.030000000000000013e-02
6.799999999999999621e-03,1.159999999999999920e-02
5.533333333333333680e-03,1.170000000000000033e-02
5.466666666666666549e-03,9.700000000000000289e-03
4.583333333333333356e-03,8.999999999999999320e-03
4.116666666666666911e-03,9.100000000000000450e-03
3.766666666666666861e-03,8.000000000000000167e-03
3.566666666666666770e-03,1.000000000000000021e-02
3.050000000000000194e-03,1.009999999999999960e-02
2.766666666666666840e-03,1.170000000000000033e-02
3.033333333333333194e-03,8.099999999999999561e-03
2.983333333333333497e-03,1.039999999999999952e-02
